question,answer_a,answer_b,answer_c,correct
Which mosquito genus is the main vector of malaria?,Anopheles,Aedes,Culex,Anopheles
Which pathogen causes malaria?,Plasmodium parasites,Flaviviruses,Bacteria,Plasmodium parasites
Which mosquito is the main vector of dengue virus?,Aedes aegypti,Anopheles gambiae,Culex pipiens,Aedes aegypti
Which disease is caused by a flavivirus transmitted by mosquitoes?,Yellow fever,Tuberculosis,Measles,Yellow fever
Which mosquito is commonly associated with West Nile virus transmission?,Culex,Anopheles,Simulium,Culex
What do female mosquitoes require from a blood meal?,Proteins needed for egg development,Sugar needed to fly,Oxygen needed for reproduction,Proteins needed for egg development
Which sex of mosquito typically takes blood meals?,Female,Male,Both equally,Female
Which mosquito-borne disease can cause severe congenital abnormalities if infection occurs during pregnancy?,Zika,Dengue,West Nile fever,Zika
Which virus causes chikungunya?,Chikungunya virus,Influenza A virus,Rabies virus,Chikungunya virus
"Which mosquito genus is particularly associated with dengue, Zika and chikungunya?",Aedes,Anopheles,Culex,Aedes
How is malaria most commonly transmitted between humans?,Bite of an infected female Anopheles mosquito,Bite of an infected tick,Contaminated drinking water,Bite of an infected female Anopheles mosquito
Which organism develops inside the mosquito as part of the malaria life cycle?,Plasmodium,Salmonella,Candida,Plasmodium
What is the main breeding habitat for many mosquito species?,Standing water,Dry soil,Salt deposits,Standing water
Which of these is a mosquito-borne viral disease?,West Nile fever,Lyme disease,Cholera,West Nile fever
Which mosquito-borne virus is associated with neurological disease such as encephalitis?,West Nile virus,Norovirus,Hepatitis C virus,West Nile virus
What is a vector in infectious disease biology?,An organism that transmits a pathogen between hosts,A drug that kills bacteria,A type of antibody,An organism that transmits a pathogen between hosts
Which mosquito genus is particularly adapted to breeding in small containers around human dwellings?,Aedes,Anopheles,Glossina,Aedes
Why are mosquitoes important for the transmission of some pathogens?,They can acquire and transmit pathogens during blood feeding,They produce antibodies against pathogens,They eliminate pathogens from infected hosts,They can acquire and transmit pathogens during blood feeding
Which disease is NOT primarily transmitted by mosquitoes?,Lyme disease,Malaria,Dengue,Lyme disease
Which pathogen causes yellow fever?,Yellow fever virus,Plasmodium falciparum,Yellow fever bacterium,Yellow fever virus
Which mosquito-borne disease is caused by a parasite rather than a virus?,Malaria,Dengue,Zika,Malaria
What happens when a mosquito becomes infected with a mosquito-borne pathogen?,The pathogen may replicate or develop within the mosquito before transmission,The mosquito immediately dies in every case,The pathogen is always destroyed by digestion,The pathogen may replicate or develop within the mosquito before transmission
Which of these diseases can be transmitted by Aedes mosquitoes?,Zika,Influenza,Tuberculosis,Zika
Why can mosquito control help reduce infectious disease transmission?,Fewer mosquitoes can mean fewer opportunities for pathogen transmission,Mosquitoes produce pathogens in the environment,Mosquitoes prevent human immune responses,Fewer mosquitoes can mean fewer opportunities for pathogen transmission
Which mosquito-borne disease has historically caused major outbreaks in tropical and subtropical regions?,Dengue,Tetanus,Diphtheria,Dengue
What is the term for the time between a mosquito acquiring a pathogen and becoming capable of transmitting it?,Extrinsic incubation period,Latent immunity period,Clinical recovery period,Extrinsic incubation period
Which environmental factor generally increases mosquito breeding opportunities?,Accumulation of stagnant water,Complete absence of water,Very dry conditions,Accumulation of stagnant water
Which of these pathogens is transmitted by mosquitoes rather than directly from person to person?,West Nile virus,Rhinovirus,Measles virus,West Nile virus
Why are only female mosquitoes generally considered important for blood-borne pathogen transmission?,"They take blood meals, providing opportunities to acquire pathogens",Males cannot fly,Females are the only mosquitoes that carry DNA,"They take blood meals, providing opportunities to acquire pathogens"
What makes some mosquito-borne diseases difficult to control?,"Mosquito populations, pathogens and environmental conditions can all influence transmission",Mosquitoes cannot be affected by environmental conditions,All mosquito-borne diseases have vaccines,"Mosquito populations, pathogens and environmental conditions can all influence transmission"
A traveller returns from the tropics with a high fever and chills. Which mosquito-borne disease should be considered urgently because it can become life-threatening?,Malaria,Dengue,Zika,Malaria
Why can climate change influence the geographic distribution of mosquito-borne diseases?,Temperature and rainfall can affect mosquito survival and pathogen development,Mosquitoes only reproduce during heatwaves,Climate change directly creates new viruses,Temperature and rainfall can affect mosquito survival and pathogen development
Which mosquito species has become established in parts of Europe and is known to transmit several viruses?,Aedes albopictus,Anopheles stephensi,Culex quinquefasciatus,Aedes albopictus
What is the common name of Aedes albopictus?,Asian tiger mosquito,Yellow fever mosquito,House mosquito,Asian tiger mosquito
A mosquito lays eggs in a small container of water left outdoors. What is the best way to reduce the potential breeding site?,Remove or empty the standing water,Add sugar to the water,Cover the container with soil while leaving the water inside,Remove or empty the standing water
Which approach is an example of One Health in controlling mosquito-borne diseases?,"Combining human, animal and environmental surveillance",Treating only infected humans,Monitoring only mosquito numbers,"Combining human, animal and environmental surveillance"
Why can an infected traveller contribute to the emergence of a mosquito-borne disease in a new region?,Local mosquitoes may acquire the pathogen by biting the traveller,The pathogen automatically spreads through the air,Travellers permanently infect the local environment,Local mosquitoes may acquire the pathogen by biting the traveller
What is a key difference between malaria and dengue?,"Malaria is caused by a parasite, while dengue is caused by a virus","Malaria is caused by a virus, while dengue is caused by a parasite",Both are caused by bacteria,"Malaria is caused by a parasite, while dengue is caused by a virus"
Which mosquito-borne virus has been associated with congenital microcephaly and other birth defects?,Zika virus,West Nile virus,Chikungunya virus,Zika virus
Why are mosquitoes sometimes described as biological vectors?,The pathogen undergoes part of its development or replication inside the vector,The mosquito simply carries pathogens on its legs,Mosquitoes produce all pathogens themselves,The pathogen undergoes part of its development or replication inside the vector
A community wants to reduce dengue transmission. Which intervention is most directly aimed at reducing the vector population?,Removing containers that collect standing water,Increasing outdoor lighting,Providing antibiotics to healthy people,Removing containers that collect standing water
Why can urbanisation contribute to transmission of some mosquito-borne diseases?,Dense populations and artificial water containers can create favourable conditions for mosquitoes and transmission,Urban areas cannot support mosquitoes,Viruses reproduce faster in concrete,Dense populations and artificial water containers can create favourable conditions for mosquitoes and transmission
Which factor can make imported mosquito-borne infections more likely to establish locally?,Presence of competent mosquito vectors and suitable environmental conditions,High altitude alone,Absence of mosquitoes,Presence of competent mosquito vectors and suitable environmental conditions
A mosquito bites an infected person and later bites another person. What must generally happen before the mosquito can transmit the pathogen?,The pathogen must survive and develop or replicate sufficiently within the mosquito,The mosquito must become sick,The mosquito must bite the same person twice,The pathogen must survive and develop or replicate sufficiently within the mosquito
Why is surveillance of mosquito populations useful for public health?,"It can identify changes in mosquito abundance, species distribution and potential disease risk",It determines which antibiotics people should take,It replaces clinical diagnosis,"It can identify changes in mosquito abundance, species distribution and potential disease risk"
Which combination represents a typical integrated approach to controlling mosquito-borne disease?,"Vector control, surveillance and public-health interventions",Antibiotics alone,Vaccination of mosquitoes only,"Vector control, surveillance and public-health interventions"
Why might Aedes mosquitoes be particularly effective vectors in urban environments?,They can breed in small artificial water containers close to humans,They only live in remote forests,They cannot survive around buildings,They can breed in small artificial water containers close to humans
Which statement about mosquito-borne disease transmission is correct?,A mosquito can acquire a pathogen from one host and potentially transmit it to another,Every mosquito bite transmits a pathogen,Mosquitoes can transmit only bacterial diseases,A mosquito can acquire a pathogen from one host and potentially transmit it to another
Why can an outbreak of a mosquito-borne disease appear suddenly in a previously unaffected area?,Introduction of the pathogen combined with suitable vectors and environmental conditions can enable local transmission,The pathogen must have been present there for centuries,Mosquitoes spontaneously generate the pathogen,Introduction of the pathogen combined with suitable vectors and environmental conditions can enable local transmission
"Which concept describes the ability of a mosquito species to become infected with, maintain and transmit a particular pathogen?",Vector competence,Herd immunity,Antigenic drift,Vector competence
